City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Banchory,57.05,-2.49,39.99,86,20,9.17,GB,1608499045
Tuatapere,-46.13,167.68,49.8,90,100,4.79,NZ,1608498833
Aklavik,68.22,-135.01,-43.6,64,20,4.7,CA,1608498937
Lavrentiya,65.58,-171.0,-11.88,87,0,11.65,RU,1608498783
Kontagora,10.4,5.47,78.39,30,0,5.03,NG,1608498872
Kahului,20.89,-156.47,82.4,61,40,12.75,US,1608499045
Aloleng,16.13,119.78,77.68,80,98,14.5,PH,1608499046
Necochea,-38.55,-58.74,61.0,58,53,5.01,AR,1608499046
Kaeo,-35.1,173.78,70.0,78,96,5.99,NZ,1608499046
Fort Saint James,54.43,-124.25,34.0,87,97,7.38,CA,1608499046
Bannu,32.99,70.6,52.27,41,20,1.74,PK,1608499046
Zelenets,61.88,50.75,15.8,92,90,8.95,RU,1608499046
Kropotkin,45.44,40.58,30.85,97,100,10.13,RU,1608499047
Adrar,20.5,-10.07,61.61,31,0,11.79,MR,1608499047
Vanimo,-2.67,141.3,78.4,84,99,4.59,PG,1608499047
Kirundo Province,-2.58,30.17,64.4,100,40,2.73,BI,1608499047
Zhigansk,66.77,123.37,-39.77,80,98,5.12,RU,1608499047
Boguchany,58.38,97.45,-2.31,89,100,2.08,RU,1608499047
Sisimiut,66.94,-53.67,16.16,82,100,14.27,GL,1608499048
Eureka,40.8,-124.16,62.01,73,42,1.99,US,1608499048
Yaan,7.38,8.57,83.55,19,0,2.66,NG,1608499048
Lüderitz,-26.65,15.16,66.2,82,66,8.05,NA,1608498809
Sola,-13.88,167.55,80.6,88,75,12.64,VU,1608498809
Yarkovo,57.4,67.08,13.91,87,100,14.85,RU,1608499048
Mollendo,-17.02,-72.01,69.3,75,98,7.58,PE,1608499048
Villazón,-22.09,-65.59,67.35,42,22,24.54,BO,1608499049
Pāsighāt,28.07,95.33,55.47,41,0,3.33,IN,1608499049
Ribeira Grande,38.52,-28.7,64.4,93,75,20.8,PT,1608498899
Dzilam González,21.28,-88.93,81.9,64,28,4.99,MX,1608499049
Iwanai,42.97,140.51,22.21,93,100,13.89,JP,1608498930
Eagle,43.7,-116.35,46.99,100,90,5.82,US,1608498801
Piaçabuçu,-10.41,-36.43,79.3,76,93,16.71,BR,1608499050
Marfino,55.7,37.38,32.0,97,90,6.71,RU,1608498931
Bor,56.36,44.07,19.4,85,75,11.18,RU,1608499050
Kristinestad,62.27,21.38,41.61,93,99,16.53,FI,1608499050
Reconquista,-29.15,-59.65,83.44,34,0,8.03,AR,1608498828
Dongsheng,39.82,109.98,12.18,92,91,6.33,CN,1608499050
Sibolga,1.74,98.78,75.83,83,100,3.51,ID,1608499050
Amnat Charoen,15.92,104.75,57.92,65,81,21.99,TH,1608499050
Adré,13.47,22.2,60.51,30,0,4.97,TD,1608499051
Egvekinot,66.32,-179.17,-14.78,85,8,14.85,RU,1608499051
Constitución,-35.33,-72.42,64.76,55,0,19.66,CL,1608499051
Benalla,-36.55,145.98,55.4,76,84,4.7,AU,1608499051
Margate,51.38,1.39,46.0,80,19,3.0,GB,1608499051
Polunochnoye,60.87,60.42,9.84,87,16,12.8,RU,1608498804
Pangody,65.85,74.49,-21.84,85,99,15.3,RU,1608499051
Nova Friburgo,-22.28,-42.53,73.0,94,68,1.77,BR,1608499020
Saint-Augustin,51.23,-58.65,21.09,96,97,3.89,CA,1608499052
Djambala,-2.54,14.75,68.09,97,100,2.98,CG,1608499052
Francia,15.85,-85.58,84.2,70,40,5.82,HN,1608499052
Gushikawa,26.35,127.87,59.0,72,75,9.17,JP,1608499052
Tegul'det,57.31,88.17,-3.66,92,80,3.47,RU,1608499052
Nemuro,43.32,145.57,24.98,86,7,17.72,JP,1608499052
Acapulco de Juárez,16.86,-99.89,84.2,74,90,4.7,MX,1608499053
Kentau,43.52,68.51,16.05,89,1,5.64,KZ,1608499053
Ciudad del Maíz,22.4,-99.6,71.01,39,39,4.0,MX,1608499053
Bulgan,48.81,103.53,8.35,80,36,3.56,MN,1608499053
Arona,28.1,-16.68,68.0,82,75,12.75,ES,1608499053
Haines Junction,60.75,-137.51,26.6,63,9,4.7,CA,1608499054
Araouane,18.9,-3.53,63.59,28,3,9.8,ML,1608499054
Mahon,39.89,4.27,55.4,93,40,6.93,ES,1608499054
Walvis Bay,-22.96,14.51,63.0,93,64,8.05,NA,1608499054
Port Macquarie,-31.43,152.92,70.0,100,75,5.82,AU,1608499054
Malbork,54.04,19.03,35.01,100,96,11.45,PL,1608499054
Jieshi,22.81,115.83,55.99,61,100,3.0,CN,1608499055
Kroya,-7.63,109.25,77.47,83,100,2.28,ID,1608499055
Sawākin,19.11,37.33,77.72,72,82,5.88,SD,1608499055
Libenge,3.65,18.63,77.25,36,67,1.9,CD,1608499055
West Plains,36.73,-91.85,53.6,58,1,8.05,US,1608498807
Vanavara,60.34,102.28,-20.4,86,16,2.95,RU,1608499055
Navrongo,10.9,-1.09,80.22,16,0,5.97,GH,1608499056
Wajima,37.4,136.9,38.98,74,100,9.4,JP,1608499056
Freeport,40.66,-73.58,37.0,93,90,6.31,US,1608499056
Portland,45.52,-122.68,50.0,87,90,4.7,US,1608498826
Imphal,24.82,93.95,47.57,86,15,2.68,IN,1608499056
Ambilobe,-13.2,49.05,75.78,91,96,2.17,MG,1608499056
Moose Factory,51.26,-80.61,33.8,86,90,9.17,CA,1608499056
Horsham,51.06,-0.33,45.0,87,20,4.7,GB,1608499057
Moïssala,8.34,17.77,74.82,20,0,2.57,TD,1608499057
Clarence Town,-32.58,151.78,71.01,100,90,5.82,AU,1608499057
Kuril'sk,45.23,147.88,25.38,93,99,19.82,RU,1608499057
Saldanha,-33.01,17.94,66.2,72,0,8.05,ZA,1608499057
Caucayá,-0.19,-74.78,89.69,47,27,5.21,CO,1608499057
Maumere,-8.62,122.21,81.23,79,100,8.14,ID,1608498942
Srandakan,-7.94,110.25,75.94,83,100,5.61,ID,1608499058
Santa Rita,-7.11,-34.98,82.4,69,40,11.41,BR,1608499058
Quzhou,28.96,118.87,35.65,85,0,3.76,CN,1608499058
Dali,25.7,100.18,38.19,78,1,2.48,CN,1608499058
Svetlaya,46.54,138.33,6.84,82,61,7.25,RU,1608499058
Kuala Pilah,2.74,102.25,75.2,94,20,1.12,MY,1608499059
Tungor,53.38,142.96,-13.23,86,7,10.78,RU,1608499059
San Rafael del Sur,11.85,-86.44,89.6,59,20,18.34,NI,1608499059
Øksfjord,70.24,22.35,35.6,93,75,6.93,NO,1608499059
Koumac,-20.57,164.28,79.47,64,11,2.35,NC,1608499059
Ucluelet,48.93,-125.55,50.0,81,75,5.82,CA,1608499059
Oriximiná,-1.77,-55.87,87.58,60,95,1.25,BR,1608499059
Lexington,37.99,-84.48,45.0,87,90,5.82,US,1608498862
Yambio,4.57,28.4,73.0,33,85,1.66,SS,1608499060
Half Moon Bay,37.46,-122.43,61.0,54,5,6.26,US,1608498947
Arica,-18.48,-70.3,73.4,56,0,11.41,CL,1608498929
Vila Velha,-20.33,-40.29,84.99,78,20,23.04,BR,1608498967
Lander,42.83,-108.73,48.2,41,1,5.06,US,1608499060
Kyabé,9.45,18.94,75.07,19,0,3.85,TD,1608499060
Bonaventure,48.05,-65.49,23.0,79,40,3.36,CA,1608499060
Ust'-Ishim,57.69,71.17,11.62,94,100,12.12,RU,1608499061
Karpogory,64.0,44.45,21.78,98,100,7.2,RU,1608499061
Pangkalanbuun,-2.68,111.62,73.83,97,100,2.3,ID,1608499061
Erzin,36.96,36.2,51.8,100,40,4.7,TR,1608499061
Antofagasta,-23.65,-70.4,68.0,68,20,16.11,CL,1608498858
Tual,-5.67,132.75,84.67,73,100,10.02,ID,1608499061
Ulladulla,-35.35,150.47,68.0,93,90,4.7,AU,1608498907
Xinzhou,38.41,112.73,17.51,83,0,0.74,CN,1608499061
Saint-Joseph,-21.37,55.62,77.0,83,0,8.05,RE,1608499062
Whitehorse,60.72,-135.05,28.4,50,20,21.92,CA,1608498885
Shenjiamen,29.96,122.3,44.42,63,0,12.35,CN,1608499062
Zaplavnoye,48.7,45.02,21.2,92,90,13.42,RU,1608499062
Yabrūd,33.97,36.66,41.0,86,0,3.36,SY,1608499062
Calbuco,-41.77,-73.13,59.0,72,75,6.93,CL,1608499062
Brasiléia,-11.02,-68.75,91.4,59,75,11.41,BR,1608499063
Province of Trapani,37.83,12.67,60.01,76,20,3.36,IT,1608499041
Zabul Province,32.25,67.25,39.78,71,64,3.91,AF,1608499063
Maţāy,28.42,30.78,55.96,67,0,8.99,EG,1608499063
Kjøpsvik,68.1,16.37,45.0,86,75,12.75,NO,1608499063
Padang,-0.95,100.35,77.77,73,100,3.78,ID,1608499063
Bambamarca,-6.68,-78.53,62.6,67,40,8.05,PE,1608499063
St. George's,12.06,-61.75,80.15,78,55,13.02,GD,1608499064
Syracuse,37.09,15.28,59.0,93,40,9.17,IT,1608499035
Vao,-22.67,167.48,75.61,78,1,11.7,NC,1608499064
Sorong,-0.88,131.25,82.27,73,100,4.94,ID,1608499056
Vijāpur,23.57,72.75,57.2,58,40,2.24,IN,1608499064
Tyshkivka,48.5,30.94,34.54,97,100,4.79,UA,1608499064
Oussouye,12.48,-16.55,75.2,64,0,6.93,SN,1608499065
Teya,60.38,92.63,-8.54,85,95,3.96,RU,1608499065
Guerrero Negro,27.98,-114.06,72.81,21,100,7.45,MX,1608499065
Salem,11.65,78.17,65.46,89,100,5.64,IN,1608499065
Chebenki,51.93,55.71,-7.6,76,0,4.47,RU,1608499065
Borodianka,50.64,29.92,32.0,94,90,4.47,UA,1608499065
Santa Ana,33.75,-117.87,82.4,33,1,5.82,US,1608498849
Tingi,-11.3,35.03,65.66,86,50,4.29,TZ,1608499066
Jasper,37.2,-94.35,48.99,57,1,14.99,US,1608499066
Prince George,53.92,-122.75,39.0,86,20,10.29,CA,1608499066
Minsk,53.9,27.57,28.4,100,90,4.47,BY,1608498960
Setúbal,38.52,-8.89,57.2,87,20,5.82,PT,1608498835
Casas Grandes,30.37,-107.95,62.01,8,0,4.0,MX,1608499067
Carballo,43.21,-8.69,55.99,87,40,12.75,ES,1608498989
Porbandar,21.64,69.61,67.26,39,0,9.6,IN,1608499067
Daru,-9.08,143.21,78.84,77,0,4.38,PG,1608499067
Chicama,-7.84,-79.15,69.8,77,20,11.41,PE,1608499067
Tiarei,-17.53,-149.33,86.0,66,40,9.17,PF,1608499067
Aswān,24.09,32.91,63.59,43,5,9.62,EG,1608499067
Bosaso,11.28,49.18,76.19,75,57,6.71,SO,1608499067
Nuuk,64.18,-51.72,26.6,79,100,6.93,GL,1608499068
Telimele,10.92,-13.33,73.72,44,6,2.04,GN,1608499068
Kununurra,-15.77,128.73,78.8,100,90,4.7,AU,1608499068
Port Blair,11.67,92.75,79.3,80,5,12.59,IN,1608498987
Ak-Dovurak,51.18,90.6,-3.14,87,98,2.21,RU,1608499068
Tanout,14.97,8.89,69.69,23,5,10.02,NE,1608499068
Belaya Gora,68.53,146.42,-32.48,84,0,2.55,RU,1608499068
Sabang,5.89,95.32,81.19,78,100,14.85,ID,1608499069
Katobu,-4.94,122.53,77.09,88,100,4.76,ID,1608499069
Redmond,47.67,-122.12,52.0,85,100,5.26,US,1608499069
Orlik,52.52,99.83,-0.33,77,46,1.36,RU,1608499069
Nekhayevskiy,50.41,41.76,18.0,83,95,8.41,RU,1608499069
Marawi,8.0,124.29,73.99,94,81,5.99,PH,1608499069
Bilma,18.69,12.92,62.65,29,1,3.27,NE,1608499070
Killybegs,54.63,-8.45,48.2,87,75,14.99,IE,1608499070
Yumen,40.28,97.2,14.95,70,45,7.25,CN,1608499070
Heihe,50.24,127.49,-7.6,76,0,0.81,CN,1608499070
Cassilândia,-19.11,-51.73,87.26,54,100,2.57,BR,1608499070
Hammond,41.58,-87.5,41.0,56,1,12.75,US,1608499070
Birobidzhan,48.8,132.95,0.5,88,69,2.33,RU,1608499070
Sittwe,20.15,92.9,65.68,72,70,5.3,MM,1608499071
